"Preprint Server","Preprint DOI","Latest Version","Date of Latest Version","Title","Byline","Publication DOI","Status","Assessors"
"SSRN Electronic Journal","10.2139/ssrn.4308756","1","01/01/2023","Safety and Immunogenicity of Aerosolised Ad5-nCoV or Intramuscular Ad5-nCoV or Inactivated COVID-19 Vaccine Coronavac Given as the Second Booster Following Three Doses of CoronaVac: A Multicentre, Open-Label, Phase 4, Randomized Trial","Tang, Rong; Zheng, Hui; Wang, Bu-Sen; Gou, Jin-Bo; Guo, Xi-Ling; Chen, Xiao-Qin; Huang, Hai-Tao; Chen, Yin; Wu, Shi-Po; Li, Xiaolong; Zhong, Jin; Wang, Xue; Pan, Hong-Xing; Zhu, Jiahong; Wan, Peng; Xu, Xiao-Yu; Shi, Feng-Juan; Li, Zhuo-Pei; Liu, Jing-Xian; Zhang, Xiao-Yin; Cui, Lun-Biao; Song, Zhizhou; Zhu, Tao; Hou, Li-Hua; Zhu, Feng-Cai; Li, Jing-Xin","-","initial deposit","-"
"SSRN Electronic Journal","10.2139/ssrn.4304730","1","22/12/2022","Immunogenicity and Safety Assessment of a SARS-CoV-2 Recombinant Spike RBD Protein Vaccine (Abdala) in Paediatric Ages 3 to 18 Years Old: A Double-Blinded, Multicentre, Randomised, Phase 1/2 Clinical Trial (ISMAELILLO Study)","Cinza-Estévez, Zurina; Resik-Aguirre, Sonia; Figueroa-Baile, Nelvis Lázara; Oquendo-Martínez, Rachel; Campa-Legrá, Iván; Tejeda-Fuentes, Alina; Rivero-Caballero, Marila; González-García, Gloria; Chávez-Chong, Cristina Olimpia; Valdés, Marel A.; Hernández-Bernal, Francisco; Lemos-Pérez, Gilda; Campal-Espinosa, Ana; Freyre-Corrales, Giselle; Benítez-Gordillo, Delia; Gato-Orozco, Evelyn; Fraga-Quintero, Anitza; Pérez-Bartutis, Gretel Susana; Mesa-Pedroso, Iliana; Bueno-Alemañy, Nilda; Infante-Aguilar, Elizabeth; Rodríguez-Reinoso, José Luis; Melo-Suárez, Grettel; Limonta-Fernández, Miladys; Ayala-Ávila, Marta; Muzio-González, Verena L.; Group, ISMAELILLO Clinical Trial","-","initial deposit","-"
"SSRN Electronic Journal","10.2139/ssrn.4289473","1","06/12/2022","Sarilumab Plus Standard of Care Versus Standard of Care for the Treatment of Severe COVID-19: A Phase 3, Randomized, Open-Labeled, Multi-Center Study (ESCAPE Study)","Mastrorosa, Ilaria; Gagliardini, Roberta; Segala, Francesco; Mondi, Annalisa; Lorenzini, Patrizia; Cerva, Carlotta; Taddei, Eleonora; Bai, Francesca; Vergori, Alessandra; Marcantonio, Negri; Pinnetti, Carmela; Cicalini, Stefania; Murri, Rita; Mazzotta, Valentina; Camici, Marta; Mosti, Silvia; Bini, Teresa; Maffongelli, Gaetano; Beccacece, Alessia; Milozzi, Eugenia; Iannetta, Marco; Lamonica, Silvia; Fusto, Marisa; Plazzi, Maria Maddalena; Ottou, Sandrine; Lichtner, Miriam; Fantoni, Massimo; Andreoni, Massimo; Sarmati, Loredana; Cauda, Roberto; Girardi, Enrico; Nicastri, Emanuele; D'Arminio Monforte, Antonella; Palmieri, Fabrizio; Cingolani, Antonella; Vaia, Francesco; Antinori, Andrea; Group, ESCAPE Study","-","initial deposit","-"
"medRxiv","10.1101/2022.11.20.22282565","1","22/11/2022","Safety, Tolerability, and Immunogenicity of PIKA-Adjuvanted Re-combinant SARS-CoV-2 Spike (S) Protein Subunit Vaccine in Healthy Adults: Interim results of an open-label and randomised Phase 1 clinical trial.","Liu, Y.; Tan, L. H.; Zhang, N.; Zhang, Y.; Mojares, Z. R.","-","publishaheadofprint","-"
"medRxiv","10.1101/2022.11.21.22281000","1","22/11/2022","Safety and immunogenicity of SARS-CoV-2 self-amplifying RNA vaccine expressing anchored RBD: a randomised, observer-blind, phase 1 study","AKAHATA, W.; Sekida, T.; Nogimori, T.; Ode, H.; Tamura, T.; Kono, K.; Kazami, Y.; Washizaki, A.; Masuta, Y.; Suzuki, R.; Matsuda, K.; Komori, M.; Morey, A.; Ishimoto, K.; Nakata, M.; Hasunuma, T.; Fukuhara, T.; Iwatani, Y.; Yamamoto, T.; Smith, J. F.; Sato, N.","-","publishaheadofprint","-"
"medRxiv","10.1101/2022.11.18.22282414","1","20/11/2022","Immunogenicity and safety of a 4th homologous booster dose of a SARS-CoV-2 recombinant spike protein vaccine (NVX-CoV2373): a phase 2, randomized, placebo-controlled trial","Alves, K.; Plested, J. S.; Galbiati, S.; Chau, G.; Cloney-Clark, S.; Zhu, M.; Kalkeri, R.; Patel, N.; Smith, K.; Marcheschi, A.; Pfeiffer, S.; McFall, H.; Smith, G.; Glenn, G. M.; Dubovsky, F.; Mallory, R. M.","-","publishaheadofprint","-"
"medRxiv","10.1101/2022.11.12.22282252","1","14/11/2022","Early prone positioning does not improve the outcome of patients with mild pneumonia due to SARS-CoV-2: results from an open-label, randomized controlled trial (the EPCoT Study).","Fezzi, M.; Antolini, L.; Soria, A.; Bisi, L.; Iannuzzi, F.; Sabbatini, F.; Rossi, M.; Limonta, S.; Rugova, A.; Columpsi, P.; Squillace, N.; Foresti, S.; Pollastri, E.; Valsecchi, M. G.; Migliorino, G. M.; Bonfanti, P.; Lapadula, G.","-","publishaheadofprint","-"
"Research Square","10.21203/rs.3.rs-2273694/v1","1","14/11/2022","Serial Viral Load Analysis by Ddpcr to Evaluate Fnc Efficacy and Safety in the Treatment of Mild Cases of Covid-19","Cabral, Paula; Silva, Renato da; de Souza, Sávio; Arruda, Raul; Cabral, Sheila; de Assis, Arícia; Martins, Yolanda; Tavares, Carlos Augusto; Junior, Antônio Viana; Chang, Junbiao; Lei, Pingsheng","-","initial deposit","-"
"medRxiv","10.1101/2022.10.17.22281161","1","19/10/2022","Clinical antiviral efficacy of remdesivir and casirivimab/imdevimab against the SARS-CoV-2 Delta and Omicron variants","Jittamala, P.; Schilling, W. H. K.; Watson, J. A.; Luvira, V.; Siripoon, T.; Ngamprasertchai, T.; Almeida, P. J.; Ekkapongpisit, M.; Cruz, C.; Callery, J. J.; Boyd, S.; Anunsittichai, O.; Hongsuwan, M.; Singhaboot, Y.; Pagornrat, W.; Tuntipaiboontana, R.; Kruabkontho, V.; Ngernseng, T.; Tubprasert, J.; Abdad, M. Y.; Keayarsa, S.; Madmanee, W.; Aguiar, R. S.; Santos, F. M.; Batty, E. M.; Hanboonkunupakarn, P.; Hanboonkunupakarn, B.; Sookprome, S.; Poovorawan, K.; Imwong, M.; Taylor, W. R.; Chotivanich, V.; Sangketchon, C.; Ruksakul, W.; Chotivanich, K.; Pukrittayakamee, S.; Dondorp, A. M.; Day,","-","publishaheadofprint","-"
"medRxiv","10.1101/2022.10.18.22281050","1","19/10/2022","Interim Analysis of a Phase I Randomized Clinical Trial on the Safety and Immunogenicity of the mRNA-1283 SARS-CoV-2 Vaccine in Adults","Yassini, P.; Hutchens, M.; Paila, Y. D.; Schoch, L.; Aunins, A.; Siangphoe, U.; Paris, R.","-","publishaheadofprint","-"
